"date","MAX(test.southUsage)"
"2016-09-27",799.9
"2016-09-28",840.9
"2016-09-29",967.5
"2016-09-30",1011.6
"2016-10-01",918.3
"2016-10-02",889.3
"2016-10-03",1038.7
"2016-10-04",1059
"2016-10-05",1079.4
"2016-10-06",1042.9
"2016-10-07",997.1
"2016-10-08",903.7
"2016-10-09",869.6
"2016-10-10",892.9
"2016-10-11",1052.8
"2016-10-12",1048.7
"2016-10-13",1054.2
"2016-10-14",1061.8
"2016-10-15",993.7
"2016-10-16",951.6
"2016-10-17",1086.8
"2016-10-18",1074.8
"2016-10-19",1077.8
"2016-10-20",1055.9
"2016-10-21",1085
"2016-10-22",1027.7
"2016-10-23",944
"2016-10-24",1089.8
"2016-10-25",1072.9
"2016-10-26",1091.5
"2016-10-27",1098.3
"2016-10-28",1085.5
"2016-10-29",973.6
"2016-10-30",898.5
"2016-10-31",983.1
"2016-11-01",1030.9
"2016-11-02",1026.5
"2016-11-03",1019.5
"2016-11-04",1015.1
"2016-11-05",908.4
"2016-11-06",902.6
"2016-11-07",1017
"2016-11-08",1044.4
"2016-11-09",1010.8
"2016-11-10",955.2
"2016-11-11",971.2
"2016-11-12",888.4
"2016-11-13",867.4
"2016-11-14",984.4
"2016-11-15",998.1
"2016-11-16",998
"2016-11-17",976.8
"2016-11-18",962.7
"2016-11-19",903.3
"2016-11-20",858.6
"2016-11-21",975.1
"2016-11-22",979.6
"2016-11-23",957.2
"2016-11-24",961.8
"2016-11-25",937.2
"2016-11-26",888.9
"2016-11-27",824.2
"2016-11-28",932.9
"2016-11-29",923.9
"2016-11-30",936.6
"2016-12-01",969.6
"2016-12-02",957.1
"2016-12-03",909.9
"2016-12-04",848.7
"2016-12-05",980.4
"2016-12-06",980.4
"2016-12-07",973.6
"2016-12-08",958.2
"2016-12-09",950.4
"2016-12-10",893.9
"2016-12-11",838.7
"2016-12-12",946.8
"2016-12-13",971.7
"2016-12-14",969.5
"2016-12-15",949.6
"2016-12-16",956.7
"2016-12-17",875.4
"2016-12-18",844.4
"2016-12-19",956.4
"2016-12-20",972.4
"2016-12-21",993.5
"2016-12-22",1002.3
"2016-12-23",965.8
"2016-12-24",874.3
"2016-12-25",838.1
"2016-12-26",935.2
"2016-12-27",959
"2016-12-28",937.2
"2016-12-29",941
"2016-12-30",930.9
"2016-12-31",837.2
"2017-01-01",808.6
"2017-01-02",838.5
"2017-01-03",937.1
"2017-01-04",936.2
"2017-01-05",922.1
"2017-01-06",932.6
"2017-01-07",872.9
"2017-01-08",816.8
"2017-01-09",938.6
"2017-01-10",941.3
"2017-01-11",948.4
"2017-01-12",981.7
"2017-01-13",930.5
"2017-01-14",878.1
"2017-01-15",822.2
"2017-01-16",926.4
"2017-01-17",933.4
"2017-01-18",953.6
"2017-01-19",974.5
"2017-01-20",937
"2017-01-21",875.4
"2017-01-22",861.4
"2017-01-23",908.8
"2017-01-24",910.7
"2017-04-19",1020.9
"2017-04-20",1044.9
"2017-04-21",1034.8
"2017-04-22",878.8
"2017-04-23",845.4
"2017-04-24",966
"2017-04-25",1001.9
"2017-04-26",1038.8
"2017-04-27",1006.1
"2017-04-28",960.5
"2017-04-29",872.2
"2017-04-30",840.2
"2017-05-01",898.4
"2017-05-02",1014
"2017-05-03",1052.5
"2017-05-04",1055.4
"2017-05-05",1080.9
"2017-05-06",998.7
"2017-05-07",921.1
"2017-05-08",1068.8
"2017-05-09",1089.2
"2017-05-10",1104.7
"2017-05-11",1087.9
"2017-05-12",1102.5
"2017-05-13",996
"2017-05-14",915.2
"2017-05-15",1080.5
"2017-05-16",1014
"2017-05-17",1023
"2017-05-18",1057.1
"2017-05-19",1047.8
"2017-05-20",915.5
"2017-05-21",909.5
"2017-05-22",1076.7
"2017-05-23",1070.5
"2017-05-24",1073.4
"2017-05-25",1060.7
"2017-05-26",1051.6
"2017-05-27",950.4
"2017-05-28",900.6
"2017-05-29",917.9
"2017-05-30",910.4
"2017-05-31",1070.2
"2017-06-01",1054.3
"2017-06-02",1059.4
"2017-06-03",1036.8
"2017-06-04",917.9
"2017-06-05",1050.7
"2017-06-06",1032.7
"2017-06-07",1071.7
"2017-06-08",1101.5
"2017-06-09",1093.9
"2017-06-10",1030.1
"2017-06-11",1030.4
"2017-06-12",1116.7
"2017-06-13",1115.3
"2017-06-14",1079.6
"2017-06-15",1022.6
"2017-06-16",1049.9
"2017-06-17",945.1
"2017-06-18",920.2
"2017-06-19",1068
"2017-06-20",1083.1
"2017-06-21",1119.9
"2017-06-22",1161
"2017-06-23",1095.5
"2017-06-24",1023.2
"2017-06-25",967.5
"2017-06-26",1156.8
"2017-06-27",1134.6
"2017-06-28",1138.1
"2017-06-29",1123.2
"2017-06-30",1118.4
