"date","MAX(test.centerUsage)"
"2016-10-01",763.5
"2016-10-02",738.5
"2016-10-03",820
"2016-10-04",850.6
"2016-10-05",835.6
"2016-10-06",835.6
"2016-10-07",859
"2016-10-08",756.9
"2016-10-09",684.7
"2016-10-10",711.8
"2016-10-11",827.2
"2016-10-12",797.1
"2016-10-13",795.6
"2016-10-14",783.2
"2016-10-15",734.3
"2016-10-16",714.4
"2016-10-17",848.3
"2016-10-18",842.1
"2016-10-19",843.4
"2016-10-20",855.9
"2016-10-21",854.4
"2016-10-22",765.6
"2016-10-23",726.9
"2016-10-24",834.8
"2016-10-25",821.2
"2016-10-26",854.7
"2016-10-27",854.4
"2016-10-28",837.4
"2016-10-29",721.5
"2016-10-30",668.3
"2016-10-31",726.6
"2016-11-01",744.3
"2016-11-02",727.7
"2016-11-03",741.8
"2016-11-04",747.4
"2016-11-05",690.7
"2016-11-06",657.3
"2016-11-07",781.2
"2016-11-08",769.1
"2016-11-09",733.1
"2016-11-10",788.1
"2016-11-11",772.2
"2016-11-12",708.7
"2016-11-13",684.4
"2016-11-14",792.8
"2016-11-15",805.2
"2016-11-16",802.2
"2016-11-17",807.6
"2016-11-18",818.6
"2016-11-19",751.9
"2016-11-20",694.1
"2016-11-21",802.4
"2016-11-22",794.4
"2016-11-23",768.6
"2016-11-24",754.2
"2016-11-25",781.5
"2016-11-26",693.2
"2016-11-27",660.2
"2016-11-28",743.5
"2016-11-29",784.3
"2016-11-30",767.5
"2016-12-01",729.3
"2016-12-02",709.1
"2016-12-03",676.2
"2016-12-04",647.7
"2016-12-05",740.7
"2016-12-06",716.9
"2016-12-07",750.1
"2016-12-08",754.4
"2016-12-09",738
"2016-12-10",675.2
"2016-12-11",647.6
"2016-12-12",745.6
"2016-12-13",745.5
"2016-12-14",716.7
"2016-12-15",716.9
"2016-12-16",703.7
"2016-12-17",675.6
"2016-12-18",633.1
"2016-12-19",747.3
"2016-12-20",768.3
"2016-12-21",748.1
"2016-12-22",725.1
"2016-12-23",716
"2016-12-24",669.2
"2016-12-25",627.2
"2016-12-26",720.7
"2016-12-27",711.6
"2016-12-28",725.2
"2016-12-29",705.4
"2016-12-30",695.7
"2016-12-31",645.6
"2017-01-01",619.4
"2017-01-02",655.6
"2017-01-03",745.2
"2017-01-04",773.4
"2017-01-05",781.9
"2017-01-06",749.5
"2017-01-07",700.4
"2017-01-08",662.4
"2017-01-09",739.4
"2017-01-10",752.6
"2017-01-11",760.9
"2017-01-12",744.1
"2017-01-13",733
"2017-01-14",667.6
"2017-01-15",650.3
"2017-01-16",748
"2017-01-17",762.3
"2017-01-18",732.8
"2017-01-19",724.1
"2017-01-20",721
"2017-01-21",670.4
"2017-01-22",641.6
"2017-01-23",732.3
"2017-01-24",721.3
"2017-04-19",814.1
"2017-04-20",815.7
"2017-04-21",824.4
"2017-04-22",664.6
"2017-04-23",647.9
"2017-04-24",779.5
"2017-04-25",782.2
"2017-04-26",827
"2017-04-27",738.5
"2017-04-28",733.6
"2017-04-29",674
"2017-04-30",655.4
"2017-05-01",679.6
"2017-05-02",790.9
"2017-05-03",829.1
"2017-05-04",841.4
"2017-05-05",856.9
"2017-05-06",742.2
"2017-05-07",706.2
"2017-05-08",846.5
"2017-05-09",854.4
"2017-05-10",862.5
"2017-05-11",873.4
"2017-05-12",871.2
"2017-05-13",783.1
"2017-05-14",735.5
"2017-05-15",856.2
"2017-05-16",818.3
"2017-05-17",815.1
"2017-05-18",857.8
"2017-05-19",860.4
"2017-05-20",743.1
"2017-05-21",710.2
"2017-05-22",878.9
"2017-05-23",904.8
"2017-05-24",899.9
"2017-05-25",874
"2017-05-26",837.2
"2017-05-27",727.4
"2017-05-28",698
"2017-05-29",722.5
"2017-05-30",735.2
"2017-05-31",883.9
"2017-06-01",835.5
"2017-06-02",841.8
"2017-06-03",780.9
"2017-06-04",702.9
"2017-06-05",900.7
"2017-06-06",925
"2017-06-07",947
"2017-06-08",891.2
"2017-06-09",904.2
"2017-06-10",846.9
"2017-06-11",751.1
"2017-06-12",916.9
"2017-06-13",910.1
"2017-06-14",841.4
"2017-06-15",814.9
"2017-06-16",819.4
"2017-06-17",739.2
"2017-06-18",692.9
"2017-06-19",813.5
"2017-06-20",823.6
"2017-06-21",863.7
"2017-06-22",872.1
"2017-06-23",924.2
"2017-06-24",827.5
"2017-06-25",794.4
"2017-06-26",913.2
"2017-06-27",910.9
"2017-06-28",909.9
"2017-06-29",912.2
"2017-06-30",919.9
"2017-06-27",910.9
"2017-06-28",909.9
"2017-06-29",912.2
"2017-06-30",919.9
