"date","MAX(test.eastUsage)"
"2016-10-01",41.8
"2016-10-02",41.7
"2016-10-03",46.5
"2016-10-04",47.6
"2016-10-05",46.6
"2016-10-06",44.7
"2016-10-07",43.1
"2016-10-08",44.5
"2016-10-09",43.8
"2016-10-10",44.6
"2016-10-11",45.9
"2016-10-12",46.4
"2016-10-13",45.7
"2016-10-14",45.8
"2016-10-15",47.5
"2016-10-16",46.2
"2016-10-17",47
"2016-10-18",48.4
"2016-10-19",46.1
"2016-10-20",43.4
"2016-10-21",44.8
"2016-10-22",46
"2016-10-23",45.1
"2016-10-24",45.5
"2016-10-25",45.2
"2016-10-26",45.8
"2016-10-27",46.8
"2016-10-28",45.6
"2016-10-29",43.3
"2016-10-30",41.6
"2016-10-31",44.5
"2016-11-01",43.8
"2016-11-02",44.2
"2016-11-03",41.2
"2016-11-04",40.4
"2016-11-05",40.8
"2016-11-06",41
"2016-11-07",41.6
"2016-11-08",42.5
"2016-11-09",39
"2016-11-10",39
"2016-11-11",41.5
"2016-11-12",41
"2016-11-13",43.1
"2016-11-14",42.9
"2016-11-15",44.5
"2016-11-16",42.1
"2016-11-17",43.5
"2016-11-18",41.2
"2016-11-19",43.8
"2016-11-20",40
"2016-11-21",42.2
"2016-11-22",40.8
"2016-11-23",39.8
"2016-11-24",38.4
"2016-11-25",41.4
"2016-11-26",42.8
"2016-11-27",40.3
"2016-11-28",41.2
"2016-11-29",40.8
"2016-11-30",40.9
"2016-12-01",40.4
"2016-12-02",40.6
"2016-12-03",41.8
"2016-12-04",40.7
"2016-12-05",41.8
"2016-12-06",39.8
"2016-12-07",40.8
"2016-12-08",40.4
"2016-12-09",42.1
"2016-12-10",41.8
"2016-12-11",40
"2016-12-12",41.9
"2016-12-13",40.9
"2016-12-14",41.9
"2016-12-15",40.5
"2016-12-16",38.1
"2016-12-17",40.4
"2016-12-18",38.1
"2016-12-19",40.3
"2016-12-20",41.5
"2016-12-21",43.4
"2016-12-22",43.6
"2016-12-23",41.5
"2016-12-24",40.8
"2016-12-25",41.6
"2016-12-26",43.4
"2016-12-27",42.7
"2016-12-28",42.6
"2016-12-29",42.4
"2016-12-30",40.3
"2016-12-31",42.8
"2017-01-01",40.9
"2017-01-02",41.1
"2017-01-03",39.6
"2017-01-04",41.7
"2017-01-05",41.6
"2017-01-06",40.4
"2017-01-07",42.3
"2017-01-08",41.3
"2017-01-09",41.2
"2017-01-10",40.3
"2017-01-11",41.5
"2017-01-12",41.2
"2017-01-13",40
"2017-01-14",38.7
"2017-01-15",40.4
"2017-01-16",40.3
"2017-01-17",40.6
"2017-01-18",41.4
"2017-01-19",40.9
"2017-01-20",39.5
"2017-01-21",40.5
"2017-01-22",39.6
"2017-01-23",39.2
"2017-01-24",37.3
"2017-04-19",42.7
"2017-04-20",43.7
"2017-04-21",42.4
"2017-04-22",37.3
"2017-04-23",37.2
"2017-04-24",38.5
"2017-04-25",43.1
"2017-04-26",41.4
"2017-04-27",38.5
"2017-04-28",37.9
"2017-04-29",38.9
"2017-04-30",40.4
"2017-05-01",41.9
"2017-05-02",43.2
"2017-05-03",43.2
"2017-05-04",42.2
"2017-05-05",41.6
"2017-05-06",41.9
"2017-05-07",42.1
"2017-05-08",43.6
"2017-05-09",47
"2017-05-10",44.9
"2017-05-11",43.1
"2017-05-12",40.9
"2017-05-13",41.9
"2017-05-14",40.1
"2017-05-15",43.6
"2017-05-16",40.1
"2017-05-17",40.9
"2017-05-18",41
"2017-05-19",39.3
"2017-05-20",40.9
"2017-05-21",41
"2017-05-22",43.5
"2017-05-23",44
"2017-05-24",43.8
"2017-05-25",41.3
"2017-05-26",38.7
"2017-05-27",41.5
"2017-05-28",41.6
"2017-05-29",41.6
"2017-05-30",41.6
"2017-05-31",46
"2017-06-01",46.4
"2017-06-02",45.7
"2017-06-03",41.9
"2017-06-04",43
"2017-06-05",45.5
"2017-06-06",47.4
"2017-06-07",48.3
"2017-06-08",47.6
"2017-06-09",46.3
"2017-06-10",47.2
"2017-06-11",49
"2017-06-12",50.8
"2017-06-13",48.2
"2017-06-14",44.2
"2017-06-15",40.9
"2017-06-16",42.4
"2017-06-17",42.1
"2017-06-18",43.3
"2017-06-19",42.6
"2017-06-20",44.8
"2017-06-21",47.4
"2017-06-22",49.5
"2017-06-23",50
"2017-06-24",50
"2017-06-25",49.4
"2017-06-26",51.8
"2017-06-27",48.8
"2017-06-28",50.7
"2017-06-29",51.6
"2017-06-30",48.8
"2017-06-27",48.8
"2017-06-28",50.7
"2017-06-29",51.6
"2017-06-30",48.8
