"date","MAX(test.northSupply)"
"2016-10-01",943
"2016-10-02",872.9
"2016-10-03",1150.5
"2016-10-04",1139.6
"2016-10-05",1150.8
"2016-10-06",1099.9
"2016-10-07",1108.1
"2016-10-08",890.7
"2016-10-09",739.8
"2016-10-10",837.1
"2016-10-11",1012.7
"2016-10-12",1011.5
"2016-10-13",1044.8
"2016-10-14",1049.5
"2016-10-15",957.5
"2016-10-16",889
"2016-10-17",1075.3
"2016-10-18",1086.3
"2016-10-19",1089.1
"2016-10-20",1065
"2016-10-21",1084.9
"2016-10-22",1005.9
"2016-10-23",910.9
"2016-10-24",1086.9
"2016-10-25",1096.6
"2016-10-26",1164.3
"2016-10-27",1141.1
"2016-10-28",1130.3
"2016-10-29",953
"2016-10-30",844.4
"2016-10-31",957
"2016-11-01",1012
"2016-11-02",1002.9
"2016-11-03",962.4
"2016-11-04",978.4
"2016-11-05",886.5
"2016-11-06",788.8
"2016-11-07",1017
"2016-11-08",1023.4
"2016-11-09",986.5
"2016-11-10",993.2
"2016-11-11",952.1
"2016-11-12",899.9
"2016-11-13",817.1
"2016-11-14",1052.5
"2016-11-15",1088
"2016-11-16",1063.9
"2016-11-17",1038.1
"2016-11-18",1055.5
"2016-11-19",923.5
"2016-11-20",770.8
"2016-11-21",984.9
"2016-11-22",982.4
"2016-11-23",958.7
"2016-11-24",959.2
"2016-11-25",968.6
"2016-11-26",839.6
"2016-11-27",760.6
"2016-11-28",946.1
"2016-11-29",963.3
"2016-11-30",923
"2016-12-01",906.9
"2016-12-02",945.7
"2016-12-03",835
"2016-12-04",773.7
"2016-12-05",962.6
"2016-12-06",903.7
"2016-12-07",909.8
"2016-12-08",907.2
"2016-12-09",939
"2016-12-10",859
"2016-12-11",741.3
"2016-12-12",931.4
"2016-12-13",953.8
"2016-12-14",891.7
"2016-12-15",897.7
"2016-12-16",889.2
"2016-12-17",788.5
"2016-12-18",700.6
"2016-12-19",873.8
"2016-12-20",942.3
"2016-12-21",937.1
"2016-12-22",924.5
"2016-12-23",847.4
"2016-12-24",703.8
"2016-12-25",662.1
"2016-12-26",848.7
"2016-12-27",873.2
"2016-12-28",864.4
"2016-12-29",850.6
"2016-12-30",761.6
"2016-12-31",692.6
"2017-01-01",594.8
"2017-01-02",644.3
"2017-01-03",783.9
"2017-01-04",840.6
"2017-01-05",890
"2017-01-06",849.5
"2017-01-07",711.3
"2017-01-08",699.7
"2017-01-09",835.7
"2017-01-10",817
"2017-01-11",917.8
"2017-01-12",837.1
"2017-01-13",853.5
"2017-01-14",663.2
"2017-01-15",644.5
"2017-01-16",831.5
"2017-01-17",878.4
"2017-01-18",873.3
"2017-01-19",898.3
"2017-01-20",764.1
"2017-01-21",674.5
"2017-01-22",567.1
"2017-01-23",782.3
"2017-01-24",819.4
"2017-04-19",976.6
"2017-04-20",979.9
"2017-04-21",991.2
"2017-04-22",844.2
"2017-04-23",706.5
"2017-04-24",951.5
"2017-04-25",1002.1
"2017-04-26",1023.8
"2017-04-27",958.8
"2017-04-28",922.9
"2017-04-29",781.5
"2017-04-30",833.1
"2017-05-01",813.9
"2017-05-02",986
"2017-05-03",1019.5
"2017-05-04",1034.3
"2017-05-05",1020.4
"2017-05-06",872.8
"2017-05-07",785.6
"2017-05-08",981.5
"2017-05-09",1004.2
"2017-05-10",1029.8
"2017-05-11",1103.6
"2017-05-12",1132.3
"2017-05-13",1007
"2017-05-14",838.8
"2017-05-15",1066
"2017-05-16",1036.5
"2017-05-17",980.1
"2017-05-18",1037
"2017-05-19",1068
"2017-05-20",902.1
"2017-05-21",880.2
"2017-05-22",1106.3
"2017-05-23",1120.5
"2017-05-24",1145.3
"2017-05-25",1083.7
"2017-05-26",1074.8
"2017-05-27",912.4
"2017-05-28",813.3
"2017-05-29",913.9
"2017-05-30",843.9
"2017-05-31",1148.5
"2017-06-01",1099.6
"2017-06-02",1082.3
"2017-06-03",990.7
"2017-06-04",788.4
"2017-06-05",1092.6
"2017-06-06",1123.6
"2017-06-07",1114
"2017-06-08",1117
"2017-06-09",1112.5
"2017-06-10",1049.9
"2017-06-11",1008.8
"2017-06-12",1171
"2017-06-13",1155
"2017-06-14",1126.4
"2017-06-15",1043.9
"2017-06-16",1014.4
"2017-06-17",875.5
"2017-06-18",814.7
"2017-06-19",1005.2
"2017-06-20",1038.1
"2017-06-21",1161.8
"2017-06-22",1216.2
"2017-06-23",1210.2
"2017-06-24",1038.5
"2017-06-25",983.3
"2017-06-26",1214.5
"2017-06-27",1211.6
"2017-06-28",1199.3
"2017-06-29",1211.7
"2017-06-30",1193.12017-06-27",1211.6
"2017-06-28",1199.3
"2017-06-29",1211.7
"2017-06-30",1193.1
"2017-07-01",1036.9
"2017-07-02",965.9
"2017-07-03",1195.4
"2017-07-04",1201.4
"2017-07-05",1191.8
"2017-07-06",1212.5
"2017-07-07",1145.8
"2017-07-08",899
"2017-07-09",935.5
"2017-07-11",1199.1
"2017-07-12",1205.7
"2017-07-13",1183
"2017-07-14",1180.8
"2017-07-15",1016.3
"2017-07-16",1002.5
"2017-07-17",1193.1
"2017-07-18",1211.9
"2017-07-19",1206
"2017-07-20",1209.2
"2017-07-21",1200.3
"2017-07-22",1097.9
"2017-07-23",1118.6
"2017-07-24",1206
"2017-07-25",1202
"2017-07-26",1210.8
"2017-07-27",1189.2
"2017-07-28",1206
"2017-07-29",1009.8
"2017-07-30",896.6
"2017-07-31",989.6
"2017-08-01",1077.7
"2017-08-02",1075.5
"2017-08-03",1069.9
"2017-08-04",1087.6
"2017-08-05",962
"2017-08-06",912.4
"2017-08-07",1095.6
"2017-08-08",1103.8
"2017-08-09",1094.4
"2017-08-10",1095.8
"2017-08-11",1094.8
"2017-08-12",1115.7
"2017-08-13",1135.9
"2017-08-14",1205.3
"2017-08-15",1151.7
"2017-08-16",1213.3
"2017-08-17",1211.5
"2017-08-18",1216.2
"2017-08-19",1066.6
"2017-08-20",1043.9
"2017-08-21",1216.2
"2017-08-22",1232.4
"2017-08-23",1237
"2017-08-24",1187.8
"2017-08-25",1162.9
"2017-08-26",1048
"2017-08-27",959.7
"2017-08-28",1126.2
"2017-08-29",1146
"2017-08-30",1143.8
"2017-08-31",1191.4
"2017-09-01",1155.2
"2017-09-02",941.6
"2017-09-03",969
"2017-09-04",1159.2
"2017-09-05",1176.9
"2017-09-06",1197.7
"2017-09-07",1174.5
"2017-09-08",1196.2
"2017-09-09",1032.3
"2017-09-11",1196
"2017-09-12",1141.9
"2017-09-13",1136.3
"2017-09-14",1064.9
"2017-09-15",1155.5
"2017-09-16",1089
"2017-09-17",1035.6
"2017-09-18",1134.8
"2017-09-19",1203.5
"2017-09-20",1215.9
"2017-09-21",1202.4
"2017-09-22",1210.3
"2017-09-23",1080.9
