"date","MAX(test.northUsage)"
"2016-10-01",1099.4
"2016-10-02",1031.6
"2016-10-03",1275.4
"2016-10-04",1263
"2016-10-05",1282.9
"2016-10-06",1295.1
"2016-10-07",1222.4
"2016-10-08",1041.2
"2016-10-09",896.2
"2016-10-10",939.2
"2016-10-11",1153
"2016-10-12",1127.9
"2016-10-13",1114.8
"2016-10-14",1118.2
"2016-10-15",1018.1
"2016-10-16",975.3
"2016-10-17",1225.7
"2016-10-18",1251.4
"2016-10-19",1260.7
"2016-10-20",1282.7
"2016-10-21",1301.1
"2016-10-22",1108
"2016-10-23",1018.8
"2016-10-24",1206.4
"2016-10-25",1182.4
"2016-10-26",1296.6
"2016-10-27",1271.3
"2016-10-28",1266.1
"2016-10-29",959.9
"2016-10-30",851.3
"2016-10-31",960.9
"2016-11-01",1041.4
"2016-11-02",1012.9
"2016-11-03",1016.3
"2016-11-04",1037.5
"2016-11-05",915.8
"2016-11-06",891.6
"2016-11-07",1100.3
"2016-11-08",1105.9
"2016-11-09",1022.1
"2016-11-10",1025.2
"2016-11-11",972.2
"2016-11-12",897.9
"2016-11-13",900.4
"2016-11-14",1101.1
"2016-11-15",1105.7
"2016-11-16",1103.5
"2016-11-17",1117.1
"2016-11-18",1098.5
"2016-11-19",964
"2016-11-20",903.7
"2016-11-21",1074.1
"2016-11-22",1096.8
"2016-11-23",1055.5
"2016-11-24",1013
"2016-11-25",1036.9
"2016-11-26",905.4
"2016-11-27",845.4
"2016-11-28",988.2
"2016-11-29",1015.3
"2016-11-30",1048.3
"2016-12-01",1021.1
"2016-12-02",1011.2
"2016-12-03",912.3
"2016-12-04",886.7
"2016-12-05",1039.7
"2016-12-06",1024
"2016-12-07",1024.7
"2016-12-08",1037.7
"2016-12-09",1016.5
"2016-12-10",895.1
"2016-12-11",863.9
"2016-12-12",1030.8
"2016-12-13",1024
"2016-12-14",1010.6
"2016-12-15",995.1
"2016-12-16",972.5
"2016-12-17",874.4
"2016-12-18",858.2
"2016-12-19",1029.6
"2016-12-20",1060.4
"2016-12-21",1087.4
"2016-12-22",1048.1
"2016-12-23",991.5
"2016-12-24",866.7
"2016-12-25",855.1
"2016-12-26",989.1
"2016-12-27",1003.2
"2016-12-28",994.2
"2016-12-29",979.4
"2016-12-30",945
"2016-12-31",841.4
"2017-01-01",803
"2017-01-02",880.2
"2017-01-03",1042.4
"2017-01-04",1050
"2017-01-05",1059.9
"2017-01-06",1049.3
"2017-01-07",920.3
"2017-01-08",864
"2017-01-09",1010.9
"2017-01-10",1017.4
"2017-01-11",1025.3
"2017-01-12",1029.2
"2017-01-13",1009.1
"2017-01-14",873.2
"2017-01-15",881.9
"2017-01-16",1002.8
"2017-01-17",1013.4
"2017-01-18",1024.2
"2017-01-19",1022.6
"2017-01-20",1005.7
"2017-01-21",892.6
"2017-01-22",866
"2017-01-23",990.8
"2017-01-24",979.5
"2017-04-19",1096.4
"2017-04-20",1146.6
"2017-04-21",1163.3
"2017-04-22",882.6
"2017-04-23",844.8
"2017-04-24",1028.4
"2017-04-25",1071.8
"2017-04-26",1122.6
"2017-04-27",1020.8
"2017-04-28",998.4
"2017-04-29",849.3
"2017-04-30",844.8
"2017-05-01",915
"2017-05-02",1096.8
"2017-05-03",1162
"2017-05-04",1185.1
"2017-05-05",1187.6
"2017-05-06",956
"2017-05-07",898
"2017-05-08",1188.4
"2017-05-09",1149.3
"2017-05-10",1228.9
"2017-05-11",1255
"2017-05-12",1236
"2017-05-13",975.9
"2017-05-14",949.7
"2017-05-15",1223.6
"2017-05-16",1099.9
"2017-05-17",1118.9
"2017-05-18",1147.2
"2017-05-19",1139
"2017-05-20",939.6
"2017-05-21",921
"2017-05-22",1177.9
"2017-05-23",1227.4
"2017-05-24",1261.1
"2017-05-25",1122.5
"2017-05-26",1089.8
"2017-05-27",904.7
"2017-05-28",868.9
"2017-05-29",922.3
"2017-05-30",957.8
"2017-05-31",1250.4
"2017-06-01",1256.9
"2017-06-02",1237.9
"2017-06-03",1135.9
"2017-06-04",987.1
"2017-06-05",1221.8
"2017-06-06",1288.6
"2017-06-07",1334.5
"2017-06-08",1332.1
"2017-06-09",1334.9
"2017-06-10",1159.4
"2017-06-11",1082.3
"2017-06-12",1340.5
"2017-06-13",1334.5
"2017-06-14",1213.2
"2017-06-15",1129.8
"2017-06-16",1170.3
"2017-06-17",971.7
"2017-06-18",938.3
"2017-06-19",1167.7
"2017-06-20",1232.1
"2017-06-21",1292.4
"2017-06-22",1340.5
"2017-06-23",1342.5
"2017-06-24",1161.9
"2017-06-25",1112.8
"2017-06-26",1393.6
"2017-06-27",1399.2
"2017-06-28",1400
"2017-06-29",1403
"2017-06-30",1370.63.6
"2017-06-27",1399.2
"2017-06-28",1400
"2017-06-29",1403
"2017-06-30",1370.6
