"date","MAX(test.centerSupply)"
"2016-09-27",759
"2016-09-28",779.1
"2016-09-29",918.4
"2016-09-30",926.6
"2016-10-01",869.9
"2016-10-02",828.8
"2016-10-03",950.2
"2016-10-04",972.5
"2016-10-05",966
"2016-10-06",988.2
"2016-10-07",960.3
"2016-10-08",889.5
"2016-10-09",856.8
"2016-10-10",879.5
"2016-10-11",966.8
"2016-10-12",938.1
"2016-10-13",931.1
"2016-10-14",947.2
"2016-10-15",892.5
"2016-10-16",931.7
"2016-10-17",1033.3
"2016-10-18",1014.6
"2016-10-19",1033.2
"2016-10-20",1030.2
"2016-10-21",1079.6
"2016-10-22",894.2
"2016-10-23",869
"2016-10-24",999.3
"2016-10-25",952.3
"2016-10-26",1057.6
"2016-10-27",1090.4
"2016-10-28",1004.5
"2016-10-29",854.9
"2016-10-30",833.4
"2016-10-31",850.9
"2016-11-01",825.3
"2016-11-02",777.7
"2016-11-03",867.8
"2016-11-04",893.8
"2016-11-05",798.7
"2016-11-06",851
"2016-11-07",945.7
"2016-11-08",910
"2016-11-09",861.4
"2016-11-10",868.2
"2016-11-11",862.7
"2016-11-12",790.1
"2016-11-13",872.5
"2016-11-14",918.6
"2016-11-15",873.3
"2016-11-16",874.5
"2016-11-17",939.7
"2016-11-18",885.4
"2016-11-19",760.2
"2016-11-20",821
"2016-11-21",856.3
"2016-11-22",852.2
"2016-11-23",798.9
"2016-11-24",760.1
"2016-11-25",783.1
"2016-11-26",672.5
"2016-11-27",698.5
"2016-11-28",706
"2016-11-29",768.7
"2016-11-30",829.9
"2016-12-01",768.4
"2016-12-02",706.8
"2016-12-03",630.6
"2016-12-04",707.1
"2016-12-05",743.2
"2016-12-06",746.5
"2016-12-07",829.5
"2016-12-08",778.9
"2016-12-09",770.1
"2016-12-10",693.8
"2016-12-11",764.4
"2016-12-12",769.6
"2016-12-13",756.2
"2016-12-14",781.5
"2016-12-15",731.9
"2016-12-16",730.2
"2016-12-17",704.1
"2016-12-18",756.3
"2016-12-19",794.2
"2016-12-20",860.3
"2016-12-21",838.6
"2016-12-22",835.3
"2016-12-23",837.5
"2016-12-24",766.3
"2016-12-25",804.3
"2016-12-26",797.1
"2016-12-27",848.8
"2016-12-28",792
"2016-12-29",835
"2016-12-30",805.7
"2016-12-31",772.8
"2017-01-01",784
"2017-01-02",824.4
"2017-01-03",818.1
"2017-01-04",803.2
"2017-01-05",795.6
"2017-01-06",825.7
"2017-01-07",768
"2017-01-08",766.3
"2017-01-09",819
"2017-01-10",864.8
"2017-01-11",790.1
"2017-01-12",829.1
"2017-01-13",798.7
"2017-01-14",779.3
"2017-01-15",826.5
"2017-01-16",836.7
"2017-01-17",780.9
"2017-01-18",801.3
"2017-01-19",774
"2017-01-20",829.2
"2017-01-21",802.3
"2017-01-22",816.2
"2017-01-23",835.1
"2017-01-24",834.3
"2017-04-19",900.7
"2017-04-20",926.9
"2017-04-21",937.2
"2017-04-22",831.3
"2017-04-23",841.6
"2017-04-24",904.1
"2017-04-25",896.6
"2017-04-26",954.2
"2017-04-27",911.4
"2017-04-28",816.8
"2017-04-29",782
"2017-04-30",769.2
"2017-05-01",834
"2017-05-02",979.8
"2017-05-03",971.1
"2017-05-04",982.8
"2017-05-05",998.7
"2017-05-06",833.1
"2017-05-07",899.2
"2017-05-08",1010
"2017-05-09",953
"2017-05-10",1012.1
"2017-05-11",1047.2
"2017-05-12",1038.4
"2017-05-13",856
"2017-05-14",879.9
"2017-05-15",1034.4
"2017-05-16",959.6
"2017-05-17",963.8
"2017-05-18",986.2
"2017-05-19",935.1
"2017-05-20",868.5
"2017-05-21",844.6
"2017-05-22",995
"2017-05-23",1071.8
"2017-05-24",1066.1
"2017-05-25",950.4
"2017-05-26",968.8
"2017-05-27",885.5
"2017-05-28",880.8
"2017-05-29",836.6
"2017-05-30",976.5
"2017-05-31",977.7
"2017-06-01",1020
"2017-06-02",971.6
"2017-06-03",933.5
"2017-06-04",985.4
"2017-06-05",968
"2017-06-06",1034.4
"2017-06-07",1097.2
"2017-06-08",1047.8
"2017-06-09",1068.7
"2017-06-10",938.6
"2017-06-11",947.6
"2017-06-12",1100
"2017-06-13",1071.6
"2017-06-14",1004.3
"2017-06-15",928.1
"2017-06-16",973.3
"2017-06-17",864.4
"2017-06-18",889.5
"2017-06-19",969.4
"2017-06-20",952.9
"2017-06-21",1002.8
"2017-06-22",1035.9
"2017-06-23",1041
"2017-06-24",962.6
"2017-06-25",1038
"2017-06-26",1007.4
"2017-06-27",1024.9
"2017-06-28",1037.8
"2017-06-29",1020.2
"2017-06-30",1011.1
