"date","MAX(test.eastSupply)"
"2016-09-27",14
"2016-09-28",9.3
"2016-09-29",9
"2016-09-30",13.4
"2016-10-01",13.6
"2016-10-02",13.5
"2016-10-03",14
"2016-10-04",13.8
"2016-10-05",14.8
"2016-10-06",13.4
"2016-10-07",13.9
"2016-10-08",14.2
"2016-10-09",14.1
"2016-10-10",13.9
"2016-10-11",14.1
"2016-10-12",14.2
"2016-10-13",14.1
"2016-10-14",12.4
"2016-10-15",14.1
"2016-10-16",14.4
"2016-10-17",14.3
"2016-10-18",14.2
"2016-10-19",11.4
"2016-10-20",13.3
"2016-10-21",14.4
"2016-10-22",14.2
"2016-10-23",14.2
"2016-10-24",14.3
"2016-10-25",14.6
"2016-10-26",15.8
"2016-10-27",13.9
"2016-10-28",13.5
"2016-10-29",12.6
"2016-10-30",15.4
"2016-10-31",13.1
"2016-11-01",11.3
"2016-11-02",12.1
"2016-11-03",11
"2016-11-04",7.6
"2016-11-05",7.5
"2016-11-06",8.8
"2016-11-07",8.5
"2016-11-08",8.5
"2016-11-09",7.5
"2016-11-10",10.3
"2016-11-11",8.2
"2016-11-12",7.7
"2016-11-13",7.1
"2016-11-14",6.5
"2016-11-15",5.5
"2016-11-16",7
"2016-11-17",4.7
"2016-11-18",7.1
"2016-11-19",7.3
"2016-11-20",6.3
"2016-11-21",4.7
"2016-11-22",6.9
"2016-11-23",7.6
"2016-11-24",7.7
"2016-11-25",8.4
"2016-11-26",8.3
"2016-11-27",8.9
"2016-11-28",9
"2016-11-29",7.8
"2016-11-30",8.3
"2016-12-01",7.9
"2016-12-02",6.9
"2016-12-03",7.2
"2016-12-04",8.6
"2016-12-05",8.7
"2016-12-06",7.4
"2016-12-07",4.7
"2016-12-08",4.4
"2016-12-09",5.6
"2016-12-10",4.3
"2016-12-11",4.6
"2016-12-12",7.8
"2016-12-13",7.6
"2016-12-14",4
"2016-12-15",6.2
"2016-12-16",4.8
"2016-12-17",6.1
"2016-12-18",5.3
"2016-12-19",7.8
"2016-12-20",7.5
"2016-12-21",3.2
"2016-12-22",3.2
"2016-12-23",3.3
"2016-12-24",3.2
"2016-12-25",3.2
"2016-12-26",3.2
"2016-12-27",4
"2016-12-28",6.4
"2016-12-29",6.3
"2016-12-30",5
"2016-12-31",3.2
"2017-01-01",3
"2017-01-02",2.9
"2017-01-03",2.4
"2017-01-04",2.6
"2017-01-05",2.6
"2017-01-06",6.6
"2017-01-07",7.4
"2017-01-08",7.1
"2017-01-09",4.7
"2017-01-10",4.5
"2017-01-11",3.4
"2017-01-12",4.4
"2017-01-13",6
"2017-01-14",5.9
"2017-01-15",6.6
"2017-01-16",6.9
"2017-01-17",6.7
"2017-01-18",4.3
"2017-01-19",6.9
"2017-01-20",6.8
"2017-01-21",6.7
"2017-01-22",4
"2017-01-23",5.6
"2017-01-24",4.5
"2017-04-19",6.3
"2017-04-20",5.9
"2017-04-21",12.4
"2017-04-22",15.8
"2017-04-23",15.9
"2017-04-24",16.3
"2017-04-25",14
"2017-04-26",13.3
"2017-04-27",17.6
"2017-04-28",17.6
"2017-04-29",14.2
"2017-04-30",10.9
"2017-05-01",9.8
"2017-05-02",10.7
"2017-05-03",10.5
"2017-05-04",9.5
"2017-05-05",9.3
"2017-05-06",8.8
"2017-05-07",9.3
"2017-05-08",10.4
"2017-05-09",10.4
"2017-05-10",9.6
"2017-05-11",12.6
"2017-05-12",8.5
"2017-05-13",7.5
"2017-05-14",9.5
"2017-05-15",8.3
"2017-05-16",16.3
"2017-05-17",16.7
"2017-05-18",13.2
"2017-05-19",11.6
"2017-05-20",13
"2017-05-21",12
"2017-05-22",12.2
"2017-05-23",12.2
"2017-05-24",10.7
"2017-05-25",9.6
"2017-05-26",10.4
"2017-05-27",16.1
"2017-05-28",13.5
"2017-05-29",12.5
"2017-05-30",12.8
"2017-05-31",12.6
"2017-06-01",17.2
"2017-06-02",17.5
"2017-06-03",14
"2017-06-04",14
"2017-06-05",14
"2017-06-06",14.1
"2017-06-07",14.5
"2017-06-08",16.9
"2017-06-09",17.2
"2017-06-10",17.1
"2017-06-11",16
"2017-06-12",17.4
"2017-06-13",11.7
"2017-06-14",11.8
"2017-06-15",17.3
"2017-06-16",14.9
"2017-06-17",14.6
"2017-06-18",14.7
"2017-06-19",14.5
"2017-06-20",14.3
"2017-06-21",17.1
"2017-06-22",17
"2017-06-23",17.1
"2017-06-24",14.4
"2017-06-25",16.3
"2017-06-26",15.4
"2017-06-27",15
"2017-06-28",14.4
"2017-06-29",14.3
"2017-06-30",9.7
